1,0,0,0,0,0,0.33333,0.33333
0,1,1,0.0016971,0,1,0.33333,0.33333
1,0,0,1,0,0.093301,0.33333,0.33333
0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0
128.6,159.62,94.534,0,0,0,0,0
138,150.22,135.91,0,0,0,0,0
0,0,0,0,0,0,0,0
17.774,42.754,284.44,0,0,0,0,0
41.995,18.532,18.532,0,0,0,0,0
148.38,204.37,380.97,0,0,0,0,0
182,170.76,156.44,0,0,0,0,0
301.61,1440,1440,0,0,0,0,0
0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0
2,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,3,3,0,0,0,0,0
